"Observation station","Year","Month","Day","Time [Local time]","Average temperature [°C]","Maximum temperature [°C]","Minimum temperature [°C]","Minimum ground temperature [°C]"
"Inari Seitalaassa","2024","7","17","03:00","20.8","25.3","17.2","-"
"Inari Seitalaassa","2024","7","18","03:00","19.3","23.6","16.5","-"
"Inari Seitalaassa","2024","7","19","03:00","17.3","20.4","14.6","-"
"Inari Seitalaassa","2024","7","20","03:00","20.2","25.5","16.5","-"
"Inari Seitalaassa","2024","7","21","03:00","22.6","27.7","17.2","-"
"Inari Seitalaassa","2024","7","22","03:00","22.5","25.4","20.2","-"
"Inari Seitalaassa","2024","7","23","03:00","22.7","27","19.9","-"
"Inari Seitalaassa","2024","7","24","03:00","22.5","26.6","20.1","-"
"Inari Seitalaassa","2024","7","25","03:00","19.3","23.9","15.3","-"
"Inari Seitalaassa","2024","7","26","03:00","22.5","26","17.8","-"
"Inari Seitalaassa","2024","7","27","03:00","22","26.2","18.7","-"
"Inari Seitalaassa","2024","7","28","03:00","20.3","24.5","18.9","-"
"Inari Seitalaassa","2024","7","29","03:00","17.2","20.1","16.5","-"
"Inari Seitalaassa","2024","7","30","03:00","14.9","17.8","13.3","-"
"Inari Seitalaassa","2024","7","31","03:00","14.5","16.5","13.4","-"
"Inari Seitalaassa","2024","8","1","03:00","12.8","15.1","11.7","-"
"Inari Seitalaassa","2024","8","2","03:00","13.4","16.4","11.7","-"
"Inari Seitalaassa","2024","8","3","03:00","14","17.2","11.9","-"
"Inari Seitalaassa","2024","8","4","03:00","13.6","19.2","9.9","-"
"Inari Seitalaassa","2024","8","5","03:00","14.9","18.2","12","-"
"Inari Seitalaassa","2024","8","6","03:00","16.5","20.4","12.6","-"
"Inari Seitalaassa","2024","8","7","03:00","19","24.9","13.4","-"
"Inari Seitalaassa","2024","8","8","03:00","18.9","22.2","16.2","-"
"Inari Seitalaassa","2024","8","9","03:00","18.5","21.9","15.9","-"
"Inari Seitalaassa","2024","8","10","03:00","18.9","22.4","16.1","-"
"Inari Seitalaassa","2024","8","11","03:00","18.4","21.3","15.9","-"
"Inari Seitalaassa","2024","8","12","03:00","17.8","19.9","15.4","-"
"Inari Seitalaassa","2024","8","13","03:00","18.2","23.4","14.2","-"
"Inari Seitalaassa","2024","8","14","03:00","18.6","24.6","14.9","-"
"Inari Seitalaassa","2024","8","15","03:00","18.7","21.4","16.7","-"
"Inari Seitalaassa","2024","8","16","03:00","17.4","20.2","16.5","-"
"Inari Seitalaassa","2024","8","17","03:00","15.8","19.2","12.7","-"
"Inari Seitalaassa","2024","8","18","03:00","16.9","20.4","13.4","-"
"Inari Seitalaassa","2024","8","19","03:00","15.4","19","14.2","-"
"Inari Seitalaassa","2024","8","20","03:00","15.1","18.9","11.1","-"
"Inari Seitalaassa","2024","8","21","03:00","16.5","18.9","15.1","-"
"Inari Seitalaassa","2024","8","22","03:00","16.9","18.4","14.9","-"
"Inari Seitalaassa","2024","8","23","03:00","18","20.8","16.6","-"
"Inari Seitalaassa","2024","8","24","03:00","15.9","17.7","15","-"
"Inari Seitalaassa","2024","8","25","03:00","13.3","15.7","11.4","-"
"Inari Seitalaassa","2024","8","26","03:00","14.6","17.3","11.4","-"
"Inari Seitalaassa","2024","8","27","03:00","13.9","15.7","11.4","-"
