"ALTITUDE","MEAN_ANNUAL_AIR_TEMP","MEAN_MONTHLY_MAX_TEMP","MEAN_MONTHLY_MIN_TEMP","MEAN_ANNUAL_WIND_SPEED","MEAN_CLOUD_COVER","MEAN_ANNUAL_SUNSHINE","MEAN_ANNUAL_RAINFALL","MAX_MONTHLY_WIND_SPEED","MAX_AIR_TEMP","MAX_WIND_SPEED","MAX_RAINFALL","MIN_AIR_TEMP","MEAN_RANGE_AIR_TEMP"
478,8.2,13.1,3.5,2,67,271.571792937815,755,2,32.5,52.653617716115,39,-16.3,9.6
202,9.8,13.6,6.3,3,67,1531,820,3,32.3,30.2,36,-10.9,7.3
44,9.2,13.2,5.4,2,67,1459,759,3,32.4,29.9,32,-12.6,7.8
759,7.4,12.2,3.3,2,66,1725,919,2,30.2,40.4984782203799,43,-15.5,8.9
340,8.4,13.4,3.9,1,65,1595,790,2,33,16.7894456958864,43,-19.2,9.5
65,9.3,13.4,5.2,2,67,1777.74273326248,794,2,32.2,15.0002907001879,33,-13.3,8.2
300,8.2,12.7,4.1,3,72,1665.64403729048,657,3,31.6,33.7488054098329,37,-15.2,8.6
780,5.1,8.9,2.2,3,72,1577,1574.28296938725,4,27.6,17.3098323228303,43.4824873351026,-15.7,6.7
213,8.4,12.9,4.2,2,66,1606,1509.19500202546,3,33.2,30.619055142696,40.5283673207741,-17.5,8.6
750,5.7,9.2,2.7,3,64,1275.04194396827,915,3,29,43.4572294000071,40,-17.2,6.5
510,8,13,3.7,2,66,1468.43285305053,862,3,32.5,12.2870709321694,41,-19.4,9.3
215,9.5,13.8,5.3,2,65,1597,526,2,33.5,24.2221586413914,31,-13.4,8.6
383,7.9,12.5,3.6,1,66,1580,690,2,33.4,27.6146020204294,36,-17.2,9.2
54,8.4,12.9,4.3,2,68,1695,531,3,33,28.8,37,-16.1,8.5
9,8.1,13.1,5.1,3,62,1619,553,3,32.6,47.6393937476212,32,-14.8,8
630,6.4,10.6,2.9,3,66,1533,902,3,30.8,50.5482517701574,46,-18,7.8
413,7.5,12.2,3.3,2,65,1657,681,2,31.4,22.8,36,-17.3,9
42,8.2,10.6,6,4,66,1840,543,5,26.8,35.5,33,-9.4,4.6
3,8,11.7,5.1,2,63,45.4368616035208,726,2,28.7,48.339866744657,41,-11.7,6.6
218,8.6,12.9,4.5,2,69,1453,965,2,31.9,37.8464355470613,39,-15.2,8.4
220,9.4,14.7,4.4,2,64,882.011362635531,636,3,34.6,51.7834324566182,32,-14.4,10.3
232,8.2,12.1,3.6,2,70,1400.11630626721,700,2,31.5,18.2,37,-17.1,8.5
164,9,13.4,5,3,69,1539,478,3,33.5,29.9,31,-15.3,8.4
110,8.9,14,4.3,2,63,399.489049548749,670,3,33.6,29.8804671597434,44,-11.1,9.3
672,7.8,12.7,3.5,2,63,1846,1089,3,31.6,32.9142105755862,52,-16.7,9.2
387,8.1,13.2,4.3,2,69,1148,803,2,32.2,23,44,-16.6,9
490,8.1,12.5,4.2,2,61,587.36214009393,822,3,31.8,20.7847258983646,42,-15.9,8.3
461,8.3,12.9,4,2,67,1739,785,3,32.9,28,40,-16.8,9
4,8.5,12.4,4.9,3,72,1439,832,3,30.7,21.3398938861908,34,-12.7,7.5
240,9.6,14.3,5.4,2,65,427.581199761014,1151,2,33.6,4.81122717792168,50,-12.2,8.9
273,9.7,14,5.9,2,63,1465,954,2,33.3,29.1920588045148,45,-12.5,8.1
240,8.9,13.8,4.2,2,68,1575,638,2,33.7,23.5,36,-17.8,9.6
282,8.3,13.2,4.1,2,68,1708,639,3,32.7,47.7876923890552,32,-17.1,9.1
3,8.2,11.8,4.8,3,67,1626,625,3,30.6,29.1,33,-14.1,7
232,8.7,12.7,4.9,3,70,1447,633,4,33,4.11818958942313,39,-16,7.8
350,7.8,12.8,3.4,2,67,1571,685,2,33.2,19.9,37,-18.1,9.3
27,8.5,12.2,5.1,3,67,808,903,4,31.1,7.43888476171996,38,-12.4,7.1
450,8.3,12.2,4.9,2,72,1535,1061,3,31,17.2,47,-13.3,7.2
140,10.1,14.5,6,2,63,263.608841317706,794,2,33.9,12.0926668623695,40,-12.3,8.5
252,10.1,14.2,6.1,2,62,1403,788,2,33.2,42.7018707508221,37,-11.1,8.1
610,6.9,10.3,3.6,2,71,1449,1066,2,29.1,40.9268074435648,41,-13.4,6.7
60,9.1,13.5,5.4,2,67,1564,578,3,33.8,22.8,36,-14.3,8.1
55,8.9,12.8,5,2,66,1378,587,3,32.8,3.8,34,-14.7,7.8
51,9,13.3,5.2,2,65,1700,592,3,33.4,27.7,35,-13.9,8.1
46,9.1,13.6,4.9,3,66,1714,522,3,34,27.9,32,-15.4,8.7
36,9.7,13.5,5.8,3,66,1647,549,3,33.9,27.4,36,-14.4,7.7
48,9.6,13.4,5.8,3,66,1651,578,3,33.7,27.5,36,-13.7,7.6
45,9.3,13.4,5.5,2,66,765.252535913605,606,3,33.4,16.3,36,-13.9,7.9
84,9,13.3,4.8,3,66,1536,469,4,33,52.8797196015483,32,-15,8.5
120,10.2,14.6,6.1,1,70,1428,687,1,34.2,27.3568550302414,36,-11.4,8.5
363,9.2,13,5.6,3,65,1628,778,4,31.8,31.5,37,-11.3,7.4
599,7.6,11.8,3.5,2,70,1102,787,2,32.1,7.55641792220995,41,-17.5,8.3
296,8,12.8,3.6,2,69,1415,850,2,32,36.565315278084,35,-16.8,9.1
412,7.9,12.1,4.3,2,65,1531,959,3,31.3,42.1089550600853,43,-14.8,7.8
80,9.3,13.8,5.7,2,65,1566,520,3,34.4,27.3,36,-15.2,8.1
254,7.7,13.3,3.7,5.46209522197023,63.5421765435021,763.735106342006,577,3.38291171984747,33.5,10.7238570907619,33,-17.5,9.7
417,8.2,12.1,4.3,2,70,1406,763,3,31.3,23.8275220284238,36,-14.3,7.8
23,9.6,13.6,5.6,2,69,1503,721,3,32,27.5,34,-11,8
